INF1,INF2,sample,result
0.40000,0.25500,000,semelparous
0.13000,0.21000,000,semelparous
0.41000,0.15500,000,semelparous
0.02000,0.02500,000,outOfTime
0.43500,0.39500,000,semelparous
0.06000,0.27500,000,semelparous
0.17500,0.02000,000,semelparous
0.26000,0.38500,000,semelparous
0.47000,0.01500,000,outOfTime
0.24500,0.47500,000,semelparous
0.14000,0.08000,000,semelparous
0.31500,0.27000,000,semelparous
0.36000,0.04500,000,outOfTime
0.33500,0.11500,000,semelparous
0.18000,0.02500,000,outOfTime
0.14500,0.42000,000,semelparous
0.26500,0.17000,000,semelparous
0.14000,0.27000,000,semelparous
0.43500,0.34000,000,semelparous
0.15500,0.27500,000,semelparous
0.30500,0.22500,000,semelparous
0.16500,0.24000,000,semelparous
0.46500,0.09000,000,semelparous
0.08000,0.27000,000,semelparous
0.37500,0.27500,000,semelparous
0.13500,0.23000,000,semelparous
0.17500,0.09500,000,semelparous
0.31000,0.27500,000,semelparous
0.26000,0.09500,000,semelparous
0.22000,0.42500,000,semelparous
0.12000,0.27000,000,semelparous
0.23500,0.48500,000,semelparous
0.43000,0.03500,000,semelparous
0.14000,0.07000,000,semelparous
0.11000,0.09000,000,semelparous
0.41000,0.47000,000,semelparous
0.25000,0.15000,000,semelparous
0.35000,0.11500,000,semelparous
0.34000,0.40500,000,semelparous
0.19500,0.50000,000,semelparous
0.21500,0.14500,000,semelparous
0.22000,0.23500,000,semelparous
0.02000,0.41000,000,semelparous
0.18000,0.29500,000,semelparous
0.28500,0.24000,000,semelparous
0.05500,0.08000,000,semelparous
0.31000,0.49500,000,semelparous
0.34500,0.16500,000,semelparous
0.05500,0.05000,000,outOfTime
0.05000,0.23500,000,semelparous
0.05000,0.48000,000,semelparous
0.03000,0.50000,000,semelparous
0.24000,0.18000,000,semelparous
0.28000,0.41500,000,semelparous
0.31000,0.43000,000,semelparous
0.07000,0.04000,000,semelparous
0.41000,0.11000,000,semelparous
0.41500,0.32000,000,semelparous
0.08000,0.28000,000,semelparous
0.39000,0.03000,000,semelparous
0.47000,0.14500,000,semelparous
0.45500,0.00500,000,outOfTime
0.21500,0.01500,000,outOfTime
0.02000,0.29500,000,semelparous
